"date","maxtemp","mintemp","wind","maxgust","precipitation","snowdepth","event"
"14/04/2012 ",20,12,16.8,"n/a ",0,"n/a ","Fog"
"15/04/2012 ",20,12,9.8,"n/a ",0,"n/a "," "
"16/04/2012 ",21,14,15.5,"n/a ",0,"n/a "," "
"17/04/2012 ",19,12,15.5,"n/a ",0,"n/a "," "
"18/04/2012 ",20,9,19.6,"n/a ",0,"n/a "," "
"19/04/2012 ",18,11,11.2,"n/a ",0,"n/a "," "
"20/04/2012 ",18,9,11.2,"n/a ",0,"n/a "," "
"21/04/2012 ",19,9,9.8,"n/a ",0,"n/a "," "
"22/04/2012 ",19,10,9.8,"n/a ",0,"n/a "," "
"23/04/2012 ",20,10,12.4,"n/a ",0,"n/a "," "
"24/04/2012 ",20,13,11.2,"n/a ",0,"n/a "," "
"25/04/2012 ",21,12,12.4,"n/a ",0,"n/a "," "
"26/04/2012 ",21,17,26.6,33.4,"n/a ","n/a ","Rain (or Drizzle)"
"27/04/2012 ",22,15,33.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"28/04/2012 ",19,15,28,41.8,0,"n/a "," "
"29/04/2012 ",19,13,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"30/04/2012 ",17,13,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"01/05/2012 ",17,8,21,"n/a ",0,"n/a "," "
"02/05/2012 ",15,6,21,"n/a ",0,"n/a "," "
"03/05/2012 ",16,7,15.5,"n/a ",0,"n/a "," "
"04/05/2012 ",17,7,9.8,"n/a ",0,"n/a "," "
"05/05/2012 ",18,10,9.8,"n/a ",0,"n/a "," "
"06/05/2012 ",19,10,16.8,"n/a ",0,"n/a "," "
"07/05/2012 ",19,13,29.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"08/05/2012 ",19,15,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"09/05/2012 ",17,12,7.1,"n/a ","n/a ","n/a ","Fog Rain (or Drizzle)"
"10/05/2012 ",18,14,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"11/05/2012 ",17,14,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"12/05/2012 ",19,11,21,"n/a ",0,"n/a "," "
